5.000, {'ABCD': 0, 'BC': 835, 'DE': 140, 'AB': 1167, 'FG': 59, 'EH': 29, 'A': 54218, 'C': 64505, 'B': 120155, 'E': 53139, 'D': 59389, 'G': 62224, 'F': 120107, 'H': 59275, 'EF': 66, 'CF': 471, 'CD': 507, 'EFGH': 0, 'AD': 132, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 815, 'DE': 89, 'AB': 1173, 'FG': 56, 'EH': 24, 'A': 52818, 'C': 65111, 'B': 122509, 'E': 51772, 'D': 59057, 'G': 62979, 'F': 122456, 'H': 58969, 'EF': 56, 'CF': 448, 'CD': 439, 'EFGH': 0, 'AD': 89, 'GH': 37, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 902, 'DE': 581, 'AB': 485, 'FG': 39, 'EH': 22, 'A': 63899, 'C': 53272, 'B': 78996, 'E': 62606, 'D': 51069, 'G': 51532, 'F': 78966, 'H': 51006, 'EF': 42, 'CF': 452, 'CD': 299, 'EFGH': 0, 'AD': 565, 'GH': 35, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 960, 'DE': 750, 'AB': 273, 'FG': 26, 'EH': 29, 'A': 67365, 'C': 50143, 'B': 64923, 'E': 65921, 'D': 48383, 'G': 48600, 'F': 64895, 'H': 48304, 'EF': 30, 'CF': 470, 'CD': 234, 'EFGH': 0, 'AD': 734, 'GH': 29, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 974, 'DE': 688, 'AB': 275, 'FG': 27, 'EH': 22, 'A': 66973, 'C': 50055, 'B': 65449, 'E': 65602, 'D': 48246, 'G': 48391, 'F': 65428, 'H': 48180, 'EF': 46, 'CF': 504, 'CD': 237, 'EFGH': 0, 'AD': 672, 'GH': 31, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 967, 'DE': 766, 'AB': 296, 'FG': 32, 'EH': 29, 'A': 67850, 'C': 50233, 'B': 65464, 'E': 66395, 'D': 48128, 'G': 48538, 'F': 65446, 'H': 48063, 'EF': 48, 'CF': 541, 'CD': 268, 'EFGH': 0, 'AD': 746, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 939, 'DE': 750, 'AB': 302, 'FG': 28, 'EH': 29, 'A': 67289, 'C': 50275, 'B': 64738, 'E': 65892, 'D': 48287, 'G': 48742, 'F': 64708, 'H': 48226, 'EF': 42, 'CF': 487, 'CD': 230, 'EFGH': 0, 'AD': 729, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 898, 'DE': 718, 'AB': 267, 'FG': 22, 'EH': 27, 'A': 67624, 'C': 50718, 'B': 65036, 'E': 66289, 'D': 48188, 'G': 49117, 'F': 65004, 'H': 48104, 'EF': 40, 'CF': 503, 'CD': 288, 'EFGH': 0, 'AD': 700, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 969, 'DE': 706, 'AB': 248, 'FG': 26, 'EH': 23, 'A': 67175, 'C': 50648, 'B': 64861, 'E': 65800, 'D': 47941, 'G': 49016, 'F': 64837, 'H': 47873, 'EF': 32, 'CF': 476, 'CD': 244, 'EFGH': 0, 'AD': 701, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 956, 'DE': 722, 'AB': 255, 'FG': 18, 'EH': 27, 'A': 67268, 'C': 50922, 'B': 64624, 'E': 65930, 'D': 48139, 'G': 49327, 'F': 64586, 'H': 48087, 'EF': 48, 'CF': 491, 'CD': 229, 'EFGH': 0, 'AD': 704, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 951, 'DE': 703, 'AB': 306, 'FG': 21, 'EH': 27, 'A': 67706, 'C': 51053, 'B': 65072, 'E': 66279, 'D': 48480, 'G': 49410, 'F': 65042, 'H': 48434, 'EF': 41, 'CF': 488, 'CD': 244, 'EFGH': 0, 'AD': 685, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 920, 'DE': 712, 'AB': 273, 'FG': 26, 'EH': 29, 'A': 67411, 'C': 50788, 'B': 64707, 'E': 66025, 'D': 48286, 'G': 49184, 'F': 64674, 'H': 48233, 'EF': 36, 'CF': 472, 'CD': 235, 'EFGH': 0, 'AD': 697, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 943, 'DE': 688, 'AB': 236, 'FG': 30, 'EH': 30, 'A': 66940, 'C': 50766, 'B': 64648, 'E': 65577, 'D': 48271, 'G': 49198, 'F': 64632, 'H': 48193, 'EF': 30, 'CF': 530, 'CD': 257, 'EFGH': 0, 'AD': 682, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 943, 'DE': 724, 'AB': 258, 'FG': 25, 'EH': 20, 'A': 67211, 'C': 50421, 'B': 64757, 'E': 65817, 'D': 48199, 'G': 48819, 'F': 64737, 'H': 48137, 'EF': 46, 'CF': 477, 'CD': 256, 'EFGH': 0, 'AD': 713, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 964, 'DE': 676, 'AB': 281, 'FG': 25, 'EH': 22, 'A': 66960, 'C': 50974, 'B': 64970, 'E': 65645, 'D': 48296, 'G': 49406, 'F': 64946, 'H': 48234, 'EF': 38, 'CF': 509, 'CD': 226, 'EFGH': 0, 'AD': 662, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 977, 'DE': 740, 'AB': 283, 'FG': 25, 'EH': 27, 'A': 66970, 'C': 50780, 'B': 64624, 'E': 65546, 'D': 47986, 'G': 49166, 'F': 64598, 'H': 47931, 'EF': 37, 'CF': 495, 'CD': 260, 'EFGH': 0, 'AD': 725, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
5.000, {'ABCD': 0, 'BC': 896, 'DE': 735, 'AB': 283, 'FG': 27, 'EH': 26, 'A': 67549, 'C': 50506, 'B': 64133, 'E': 66150, 'D': 48005, 'G': 48926, 'F': 64111, 'H': 47946, 'EF': 51, 'CF': 475, 'CD': 260, 'EFGH': 0, 'AD': 724, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
