0.000, {'ABCD': 0, 'BC': 749, 'DE': 565, 'AB': 240, 'FG': 29, 'EH': 19, 'A': 63184, 'C': 49606, 'B': 62254, 'E': 61979, 'D': 46008, 'G': 48233, 'F': 62234, 'H': 45938, 'EF': 44, 'CF': 372, 'CD': 227, 'EFGH': 0, 'AD': 551, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 792, 'DE': 611, 'AB': 210, 'FG': 33, 'EH': 26, 'A': 63672, 'C': 49590, 'B': 62384, 'E': 62435, 'D': 46550, 'G': 48226, 'F': 62364, 'H': 46486, 'EF': 29, 'CF': 410, 'CD': 231, 'EFGH': 0, 'AD': 595, 'GH': 13, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 827, 'DE': 613, 'AB': 246, 'FG': 27, 'EH': 31, 'A': 63715, 'C': 49893, 'B': 62450, 'E': 62403, 'D': 46081, 'G': 48521, 'F': 62428, 'H': 46038, 'EF': 38, 'CF': 444, 'CD': 206, 'EFGH': 0, 'AD': 594, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 755, 'DE': 633, 'AB': 242, 'FG': 27, 'EH': 20, 'A': 63449, 'C': 49233, 'B': 61765, 'E': 62183, 'D': 45582, 'G': 47952, 'F': 61744, 'H': 45524, 'EF': 44, 'CF': 396, 'CD': 203, 'EFGH': 0, 'AD': 604, 'GH': 12, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 0, 'BC': 758, 'DE': 538, 'AB': 239, 'FG': 19, 'EH': 21, 'A': 63382, 'C': 49878, 'B': 61608, 'E': 62151, 'D': 45646, 'G': 48549, 'F': 61592, 'H': 45589, 'EF': 37, 'CF': 412, 'CD': 205, 'EFGH': 0, 'AD': 533, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 772, 'DE': 600, 'AB': 202, 'FG': 19, 'EH': 20, 'A': 63161, 'C': 49861, 'B': 61598, 'E': 61875, 'D': 46011, 'G': 48499, 'F': 61581, 'H': 45942, 'EF': 42, 'CF': 410, 'CD': 216, 'EFGH': 0, 'AD': 589, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 813, 'DE': 601, 'AB': 235, 'FG': 30, 'EH': 21, 'A': 63179, 'C': 50022, 'B': 60629, 'E': 61936, 'D': 45869, 'G': 48656, 'F': 60605, 'H': 45819, 'EF': 30, 'CF': 432, 'CD': 186, 'EFGH': 0, 'AD': 588, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 768, 'DE': 642, 'AB': 233, 'FG': 25, 'EH': 25, 'A': 64161, 'C': 49664, 'B': 60263, 'E': 62893, 'D': 45746, 'G': 48309, 'F': 60245, 'H': 45682, 'EF': 31, 'CF': 419, 'CD': 193, 'EFGH': 0, 'AD': 634, 'GH': 25, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 731, 'DE': 595, 'AB': 209, 'FG': 29, 'EH': 19, 'A': 63171, 'C': 50324, 'B': 59141, 'E': 61996, 'D': 45760, 'G': 49044, 'F': 59125, 'H': 45712, 'EF': 30, 'CF': 380, 'CD': 185, 'EFGH': 0, 'AD': 594, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 708, 'DE': 651, 'AB': 209, 'FG': 24, 'EH': 23, 'A': 64108, 'C': 50054, 'B': 58292, 'E': 62832, 'D': 45510, 'G': 48753, 'F': 58273, 'H': 45462, 'EF': 39, 'CF': 379, 'CD': 217, 'EFGH': 0, 'AD': 644, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 767, 'DE': 659, 'AB': 214, 'FG': 15, 'EH': 25, 'A': 63667, 'C': 49939, 'B': 57761, 'E': 62336, 'D': 44896, 'G': 48584, 'F': 57746, 'H': 44834, 'EF': 38, 'CF': 401, 'CD': 240, 'EFGH': 0, 'AD': 653, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.778, {'ABCD': 0, 'BC': 692, 'DE': 645, 'AB': 195, 'FG': 24, 'EH': 22, 'A': 63297, 'C': 50158, 'B': 56788, 'E': 62004, 'D': 45551, 'G': 48798, 'F': 56770, 'H': 45497, 'EF': 29, 'CF': 356, 'CD': 258, 'EFGH': 0, 'AD': 636, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
0.848, {'ABCD': 0, 'BC': 712, 'DE': 563, 'AB': 214, 'FG': 16, 'EH': 36, 'A': 63069, 'C': 49825, 'B': 55650, 'E': 61860, 'D': 45013, 'G': 48506, 'F': 55632, 'H': 44955, 'EF': 35, 'CF': 375, 'CD': 256, 'EFGH': 0, 'AD': 551, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
0.919, {'ABCD': 0, 'BC': 684, 'DE': 630, 'AB': 207, 'FG': 18, 'EH': 19, 'A': 63482, 'C': 49983, 'B': 54462, 'E': 62259, 'D': 44396, 'G': 48729, 'F': 54441, 'H': 44345, 'EF': 40, 'CF': 343, 'CD': 241, 'EFGH': 0, 'AD': 620, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.990, {'ABCD': 0, 'BC': 714, 'DE': 651, 'AB': 196, 'FG': 25, 'EH': 28, 'A': 63245, 'C': 50196, 'B': 53230, 'E': 61954, 'D': 44611, 'G': 48833, 'F': 53214, 'H': 44553, 'EF': 48, 'CF': 390, 'CD': 282, 'EFGH': 0, 'AD': 645, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
1.061, {'ABCD': 0, 'BC': 678, 'DE': 651, 'AB': 182, 'FG': 25, 'EH': 15, 'A': 63407, 'C': 50397, 'B': 51406, 'E': 62184, 'D': 43836, 'G': 49151, 'F': 51390, 'H': 43776, 'EF': 30, 'CF': 352, 'CD': 273, 'EFGH': 0, 'AD': 645, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
